,특성추출(가중치순 상위 50개),label.1,score.1,종목명,emo
23,"BGF리테일,CU,환경부,편의점,그린스토어,사용량,리테일,임직원,류왕선,직영점,한국환경산업기술원,서울,유제철,실시간",Environmental,0.9790902137756348,BGF리테일,0.9999709129333496
24,"친환경,류왕선,환경부,편의점,그린스토어,사용량,CU,리테일,임직원,BGF리테일,서울,실시간,분리수거",Environmental,0.9774641394615172,BGF리테일,0.9900581240653992
25,"환경부,CU,리테일,사용량,편의점,그린스토어,BGF리테일,현판식,류왕선,임직원,이산화탄소",Environmental,0.9887927174568176,BGF리테일,0.999947190284729
27,"이건준,BGF,리테일,BGF리테일,재무제표,진천,베트남,서울,편의점,컨설팅업,발전업,인사말,네트워크,강남구,태양력,10여,60여",Social,0.9836704730987548,BGF리테일,1.9999942779541016
28,"납품업자,리테일,과징금,공정위,BGF리테일,사업자,편의점,판촉비용,대규모유통업법,갑질,CU,서면,판촉비,유통업법,가맹본부,매출액,재발방지책,방지책,설득력,위원회,공정거래위원회,내부준법감시,위반금액,GS리테일",Governance,0.7711129784584045,BGF리테일,0.6748511791229248
29,"친환경,CU,편의점,비닐봉투,가맹점주,환경보호,리테일,BGF리테일,쇼퍼백,쇼핑백,양재석,간편식,제주도",Environmental,0.9876526594161988,BGF리테일,0.9999114274978638
30,"편의점,CU,1만,이건준,그간,1호,리테일,차세대,간편식,이젠,만큼,태양광,가맹점,상반기,BGF리테일",Social,0.914738118648529,BGF리테일,0.998261034488678
32,"코로나19,가맹점,정산금,협력사,BGF리테일,리테일,편의점,힐링데,서기문,1000억,중소기업,경쟁력,근무자,만큼,CU,차별화,요인들",Social,0.9877105355262756,BGF리테일,0.9999186992645264
33,"코로나19,협력사,가맹점,리테일,BGF리테일,정산금,중소기업,힐링데,서기문,편의점,상생협력실장,BGF,차단막,차별화,근무자,30여",Social,0.9804430603981018,BGF리테일,0.9993226528167723
34,"코로나19,협력사,가맹점,BGF리테일,정산금,중소기업,리테일,힐링데,서기문,편의점,차단막,차별화,근무자,30여년,보름가량",Social,0.9915478825569152,BGF리테일,0.999754011631012
35,"코로나19,협력사,가맹점,리테일,정산금,1000억,힐링데,BGF리테일,서기문,CU,상생협력실장,편의점,경쟁력,차단막,근무자,30여,700억,BGF,가맹점주,동반성장,한마음,중소협력사들,사진제공",Social,0.9798595309257508,BGF리테일,0.0
36,"코로나19,협력사,가맹점,리테일,정산금,중소기업,BGF리테일,서기문,힐링데,1000억,차단막,차별화,근무자,30여,코로나바이러스,실효성",Social,0.9166622161865234,BGF리테일,0.0
37,"리테일,상반기,조윤성,허연수,상여금,위기극복,GS리테일,5억,편의점,GS,부회장,부사장,퇴직금,김용원,점포수,1위,사진제공,9억,BGF리테일,BGF,CU,GS25,회사,사장,보수,공시",Social,0.926842212677002,BGF리테일,1.0160012245178223
39,"환경부,리테일,소비자,이건준,BGF리테일,폭염쉼터,양재석,조명래,SOS,공익활동,쉼터,냉동고,전광판,아이스크림,BGF,사각지대,여름철,협약식",Environmental,0.9858594536781312,BGF리테일,0.9986370205879213
40,"리테일,BGF리테일,소비자,양재석,CU,에코머니,SOS,직영점,쉼터,그린스토어,복지사각지대,소비자들,여름철,폭염쉼터,편의점",Social,0.9277960658073424,BGF리테일,0.958954095840454
41,"BGF리테일,리테일,소비자,폭염쉼터,CU,양재석,쉼터,SOS,에코머니,직영점,마케팅실장,그린스토어,복지사각지대,소비자들,여름철,편의점",Social,0.6880943775177002,BGF리테일,0.8490800857543945
42,"리테일,BGF리테일,소비자,CU,양재석,에코머니,SOS,쉼터,직영점,그린스토어,복지사각지대,소비자들,여름철,폭염쉼터,편의점",Social,0.8955485820770264,BGF리테일,0.907211184501648
43,"친환경,CU,편의점,비닐봉투,가맹점주,환경보호,리테일,BGF리테일,쇼퍼백,쇼핑백,양재석,간편식,제주도",Environmental,0.9876526594161988,BGF리테일,0.9992918968200684
56,"제일제당,보고서,원재료,자동차,978T,551T,발생량,양념장,CJ제일제당,이산화탄소,햇반,지속경영보고서,60만,CJ,지속,필름,경영,포장,생산,절감,원료,플라스틱,감축,성과,용기,사용,가능,구매,규모,발간",Environmental,0.9896686673164368,CJ,0.9927583932876588
57,"임직원,보고서,제일제당,50세,5600만,1100여명,CJ,CJ제일제당,기간제,정규직,임시직,연령별,퇴직자,8350원,5명,신입사원,만족도,남성,여성,임금,기준,평균,신규,법정,미만,발간,채용,보수,정규,기간,연령,시간,집계",Social,0.9585024118423462,CJ,0.9988648891448976
58,"보고서,제일제당,CJ제일제당,친환경,CJ,강신호,위원회,이해관계자,지속가능경영보고서,관계자,원재료,온라인,다우존스,NATURE,최우선,551톤",Governance,0.878694474697113,CJ,0.999897003173828
59,"보고서,제일제당,CJ제일제당,지속가능경영,CJ,이해관계자,위원회,강신호,친환경,지속가능경영보고서,관계자,원재료,온라인,폐기물,다우존스,영문판,이해관계자들,NATURE",Social,0.7699588537216187,CJ,0.9176989197731018
60,"보고서,친환경,제일제당,지속가능경영,CJ제일제당,CJ,이해관계자,강신호,지속가능경영보고서,관계자,원재료,온라인,이해관계자들,인포그래픽",Social,0.9598844647407532,CJ,0.9977847933769226
61,"CJ,구조조정,계열사,코로나19,코로나,CGV,관계자,희망퇴직,정기인사,CJ그룹,미지수,지주사,만큼,장기간,무급휴직",Social,0.9769336581230164,CJ,0.9985597729682922
62,"영수증,올리브영,CJ올리브영,화장품,보고서,CJ,관계자,1억,GRP,AA,4등급,관광시설",Social,0.9840607047080994,CJ,0.9909341335296632
63,"영수증,올리브영,CJ올리브영,1억,화장품,보고서,CJ,관계자,UN,GRP,AA",Social,0.9844418168067932,CJ,1.869862914085388
64,"영수증,올리브영,CJ올리브영,1억,CJ,화장품,UN,보고서,GRP,관계자,전자영수증,AA",Social,0.9323893189430236,CJ,0.7598457336425781
65,"영수증,올리브영,1억,CJ올리브영,화장품,보고서,CJ,관계자,UN,GRP,AA,포장재",Social,0.9860141277313232,CJ,0.8960674405097961
66,"이씨,사무실,채용공고,관계자,구직자,서울,할부금,인천공항,코로나19,수행기사,CJ,대부업체,자동차,보험료,일자리,피해자,자격증",Social,0.986935257911682,CJ,0.9607506394386292
67,"CJ,코로나19,계열사,재택근무,사무실,위생장갑,영화관,손세정제,사내식당,샐러드바,푸드빌,CJ그룹,직원들,빕스",Social,0.830200731754303,CJ,0.999996781349182
68,"UN,대한통운,CJ대한통운,우수등급,GRP,보고서,미세먼지,관계자,물류업,대국민,국제기관,아시아,태평양,CJ,10톤,친환경물류",Environmental,0.8028733730316162,CJ,1.9993348121643064
69,"UN,CJ대한통운,대한통운,우수등급,GRP,미세먼지,보고서,관계자,물류업,정상회의,대국민,국제기관,CJ,10톤,태평양,아시아",Social,0.9836111664772034,CJ,1.7438751459121704
70,"UN,대한통운,CJ대한통운,우수등급,GRP,보고서,미세먼지,10T,물류업,관계자,대국민,국제기관,아시아,태평양,CJ,친환경물류",Social,0.6973896622657776,CJ,1.1789486408233643
71,"친환경,우수등급,대한통운,계열사,CJ,CJ대한통운,UN,보고서,미세먼지,관계자,대국민,국제기관,GRP,포장재,10톤,페덱스",Social,0.837393581867218,CJ,0.9995054006576538
72,"코로나19,재택근무,고립경제,대구,오프라인,관계자,트위,온라인,제주도,피트니스,홈오피스,CJ,가트너,이용객,일평균,도생,이케아코리아,KTX",Social,0.9912602305412292,CJ,0.5808857679367065
73,"안전경영,임직원,CJ,협력사,식품안전,계열사,제조사업장",Governance,0.6591747403144836,CJ,1.997901439666748
74,"동서식품,한국야쿠르트,칙촉,소상공인,천안시,홀몸,코로나19,도서관,CJ,나눔재단,식품업,이원준,서울,건강식품,아이스홍삼,소비자,CJ나눔재단,그동안,취약계층,공부방,협의체",Social,0.9918861389160156,CJ,1.9115302562713623
